firstName	lastName	affiliation	fullName	match
Julie J	Paik	Division of Rheumatology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA. jpaik1@jhmi.edu.	Julie J Paik	False
Jiri	Vencovský	Institute of Rheumatology and Department of Rheumatology, 1st Medical Faculty, Charles University, Prague, Czech Republic.	Jiri Vencovský	False
Christina	Charles-Schoeman	Division of Rheumatology, University of California, Los Angeles School of Medicine, Los Angeles, CA, USA.	Christina Charles-Schoeman	False
Grace C	Wright	Association of Women in Rheumatology, New York, NY, USA.	Grace C Wright	True
Ruth Ann	Vleugels	Department of Dermatology, Brigham and Women's Hospital, Boston, MA, USA.	Ruth Ann Vleugels	False
Alexandra S	Goriounova	Priovant Therapeutics Inc., New York, NY, USA.	Alexandra S Goriounova	True
Paul N	Mudd	Priovant Therapeutics Inc., New York, NY, USA. paul.mudd@priovanttx.com.	Paul N Mudd	False
Rohit	Aggarwal	Division of Rheumatology and Clinical Immunology, Department of Medicine, University of Pittsburgh, Pittsburgh, PA, USA.	Rohit Aggarwal	False
Uma	Mahadevan	Division of Gastroenterology and Hepatology, University of California San Francisco, 1701 Divisadero Street #120, San Francisco, CA, 94010, USA. Uma.mahadevan@ucsf.edu.	Uma Mahadevan	False
Gweneth	Levy	AbbVie, Inc., Chicago, IL, USA.	Gweneth Levy	True
Lianne	Gensler	Division of Rheumatology, University of California San Francisco, San Francisco, CA, USA.	Lianne Gensler	True
Mira	Ali	AbbVie, Inc., Chicago, IL, USA.	Mira Ali	False
Ana P	Lacerda	AbbVie, Inc., Chicago, IL, USA.	Ana P Lacerda	False
Lani	Wegrzyn	AbbVie, Inc., Chicago, IL, USA.	Lani Wegrzyn	False
Hannah	Palac	AbbVie, Inc., Chicago, IL, USA.	Hannah Palac	False
Tina	Bhutani-Jacques	Division of Rheumatology, University of California San Francisco, San Francisco, CA, USA.	Tina Bhutani-Jacques	False
Millie	Long	University of North Carolina at Chapel Hill, Chapel Hill, NC, USA.	Millie Long	True
Megan E B	Clowse	Division of Rheumatology and Immunology, Duke University, Durham, NC, USA.	Megan E B Clowse	True
Alexa B	Kimball	Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, USA.	Alexa B Kimball	True
Christina	Chambers	Department of Pediatrics, University of California, San Diego, La Jolla, CA, USA.	Christina Chambers	False
Anthony R	Scialli	Scialli Consulting LLC, Washington, DC, USA.	Anthony R Scialli	False
Devika	Dixit	University of Florida, Department of Medicine, Division of Internal Medicine, Gainesville, FL.	Devika Dixit	False
Nicole C	Ruiz	Emory University, Department of Medicine, Division of Digestive Diseases, Atlanta, GA, USA.	Nicole C Ruiz	False
Steve	Shen	University of Florida, Department of Medicine, Division of Internal Medicine, Gainesville, FL.	Steve Shen	False
